iter	Logloss
0	0.6929886719
1	0.6928180349
2	0.6926588584
3	0.6924920298
4	0.6923358698
5	0.6922036942
6	0.6920406403
7	0.6919171121
8	0.6918047403
9	0.6916681465
10	0.6915399124
11	0.6914242326
12	0.691312759
13	0.6912088467
14	0.6911046726
15	0.6910015565
16	0.6909022457
17	0.6908221045
18	0.6907367885
19	0.6906499172
20	0.6905706138
21	0.6904877857
22	0.6904089924
23	0.6903321797
24	0.6902554999
25	0.6901856458
26	0.6901145893
27	0.6900444012
28	0.6899717839
29	0.6898997713
30	0.6898331658
31	0.6897768565
32	0.6897038016
33	0.6896447898
34	0.6895911317
35	0.6895310702
36	0.6894803013
37	0.6894184628
38	0.6893667135
39	0.6893165867
40	0.6892557713
41	0.6892127992
42	0.689166954
43	0.6891216457
44	0.6890742104
45	0.6890281262
46	0.6889868178
47	0.6889408324
48	0.6888963562
49	0.688852678
50	0.6888117885
51	0.6887710442
52	0.6887323101
53	0.6886955245
54	0.6886431136
55	0.6886081685
56	0.688567794
57	0.6885380789
58	0.6885070725
59	0.6884744754
60	0.6884421338
61	0.6884119159
62	0.6883720864
63	0.6883424521
64	0.6883113635
65	0.6882798857
66	0.6882488412
67	0.6882202226
68	0.6881921578
69	0.6881668157
70	0.6881399644
71	0.6881138515
72	0.6880833288
73	0.6880635713
74	0.6880350223
75	0.6879998313
76	0.6879731024
77	0.6879447524
78	0.6879230889
79	0.6878971991
80	0.687869876
81	0.6878502507
82	0.6878271295
83	0.6877943729
84	0.6877666303
85	0.6877409425
86	0.687719754
87	0.6876956664
88	0.687676406
89	0.6876461031
90	0.6876179227
91	0.6875922868
92	0.6875694149
93	0.6875495486
94	0.6875267011
95	0.6875055641
96	0.6874826842
97	0.6874553379
98	0.6874306428
99	0.6874089674
100	0.6873893974
101	0.6873634593
102	0.6873404642
103	0.6873130871
104	0.6872905085
105	0.6872667482
106	0.6872317842
107	0.6872147136
108	0.6871942029
109	0.687164355
110	0.6871388803
111	0.6871117818
112	0.6870935901
113	0.6870755044
114	0.6870532105
115	0.6870317735
116	0.6870077124
117	0.6869830042
118	0.6869623641
119	0.6869418511
120	0.6869150434
121	0.6868842047
122	0.6868638869
123	0.6868397216
124	0.686817835
125	0.6867966706
126	0.6867731813
127	0.6867558748
128	0.6867403927
129	0.6867212601
130	0.6866998686
131	0.6866764105
132	0.686660265
133	0.6866404676
134	0.6866208116
135	0.6865973751
136	0.6865827337
137	0.6865525942
138	0.6865314005
139	0.6865105196
140	0.6864912228
141	0.6864733067
142	0.6864580269
143	0.6864410718
144	0.6864146509
145	0.6863973907
146	0.6863797149
147	0.6863615137
148	0.6863368355
149	0.6863154755
150	0.6862966991
151	0.6862773208
152	0.6862594681
153	0.6862420187
154	0.6862243057
155	0.6862107951
156	0.6861897789
157	0.686171689
158	0.6861524845
159	0.6861336986
160	0.6861205145
161	0.68608469
162	0.6860679909
163	0.6860436898
164	0.6860276889
165	0.6860085397
166	0.685993894
167	0.6859755807
168	0.6859576225
169	0.6859445578
170	0.6859281568
171	0.6859059278
172	0.6858878543
173	0.6858639499
174	0.6858420112
175	0.6858248019
176	0.6858137808
177	0.6857972854
178	0.6857845521
179	0.6857664405
180	0.6857504787
181	0.685732888
182	0.6857125802
183	0.6856995378
184	0.6856774924
185	0.6856627093
186	0.6856471411
187	0.6856351809
188	0.685619323
189	0.6855935063
190	0.6855711732
191	0.6855566787
192	0.6855365022
