iter	Passed	Remaining
0	7	37811
1	18	46858
2	24	41392
3	32	40400
4	40	40023
5	53	44622
6	61	44001
7	67	42311
8	76	42293
9	86	43105
10	92	42060
11	102	42813
12	112	43297
13	125	44719
14	135	44992
15	147	46007
16	157	46117
17	166	46017
18	176	46308
19	182	45502
20	192	45682
21	202	45802
22	210	45586
23	219	45612
24	227	45285
25	238	45663
26	248	45817
27	254	45258
28	262	44919
29	269	44678
30	281	45059
31	292	45430
32	300	45177
33	311	45520
34	321	45555
35	330	45573
36	340	45739
37	347	45409
38	358	45625
39	365	45344
40	373	45171
41	380	44947
42	387	44658
43	397	44743
44	407	44819
45	413	44503
46	425	44829
47	437	45133
48	446	45154
49	458	45384
50	472	45823
51	485	46223
52	497	46452
53	510	46765
54	525	47232
55	536	47326
56	544	47234
57	554	47261
58	566	47421
59	578	47657
60	587	47552
61	595	47394
62	607	47587
63	617	47609
64	630	47882
65	640	47885
66	647	47685
67	660	47895
68	670	47912
69	678	47804
70	691	47977
71	700	47923
72	709	47899
73	717	47778
74	730	47995
75	741	48025
76	751	48048
77	760	48005
78	769	47940
79	778	47908
80	794	48221
81	805	48300
82	813	48183
83	822	48110
84	831	48097
85	839	47979
86	848	47940
87	860	48007
88	880	48601
89	900	49142
90	915	49393
91	926	49439
92	938	49502
93	951	49672
94	964	49805
95	976	49892
96	987	49923
97	998	49945
98	1008	49932
99	1030	50480
100	1038	50378
101	1049	50405
102	1060	50416
103	1072	50501
104	1082	50468
105	1093	50473
106	1102	50431
107	1112	50407
108	1119	50244
109	1134	50440
110	1143	50378
111	1155	50448
112	1166	50448
113	1175	50387
114	1187	50423
115	1197	50413
116	1207	50375
117	1213	50214
118	1223	50184
119	1231	50072
120	1242	50106
121	1252	50060
122	1259	49955
123	1270	49969
124	1285	50117
125	1300	50302
126	1311	50331
127	1320	50248
128	1330	50240
129	1340	50205
130	1347	50092
131	1356	50034
132	1363	49900
133	1371	49817
134	1379	49728
135	1386	49596
136	1397	49611
137	1407	49590
138	1416	49551
139	1424	49465
140	1434	49427
141	1442	49352
142	1452	49341
143	1465	49405
144	1478	49489
145	1489	49532
146	1500	49542
147	1510	49534
148	1521	49550
149	1531	49515
150	1542	49544
151	1554	49586
152	1565	49595
153	1574	49554
154	1585	49552
155	1599	49651
156	1607	49575
157	1618	49598
158	1633	49743
159	1646	49810
160	1659	49874
161	1674	49997
162	1690	50165
163	1704	50247
164	1720	50430
165	1731	50410
166	1742	50427
167	1753	50443
168	1765	50462
169	1775	50442
170	1783	50376
171	1794	50381
172	1809	50496
173	1827	50677
174	1837	50654
175	1849	50697
176	1859	50657
177	1871	50708
178	1879	50617
179	1889	50586
180	1901	50634
181	1912	50616
182	1921	50578
183	1931	50558
184	1939	50472
185	1949	50469
186	1960	50465
187	1969	50411
188	1977	50339
189	1991	50406
190	2001	50387
191	2009	50312
192	2019	50290
193	2026	50202
194	2036	50180
195	2045	50142
196	2052	50033
197	2063	50038
198	2076	50085
199	2091	50206
200	2102	50192
201	2111	50155
202	2121	50141
203	2136	50219
204	2152	50342
205	2158	50238
206	2167	50194
207	2175	50117
208	2181	50016
209	2189	49941
210	2196	49853
211	2203	49772
212	2210	49676
213	2218	49616
214	2230	49646
215	2240	49619
216	2251	49633
217	2261	49617
218	2271	49578
219	2280	49543
220	2287	49465
221	2298	49467
222	2306	49417
223	2314	49350
224	2324	49339
225	2334	49322
226	2342	49250
227	2355	49291
228	2368	49345
229	2379	49348
230	2390	49361
