ID,Acc,Asset/TF,BalancedAcc,Best Model,Dataset,Date,Decision,Down %,F1,Feature set,GitHub Commit,Hold %,Models Used,Params,Precision,Primary metric,Primary value,ROC-AUC,Recall,Seed,Status,Target,Up %,Validation
EXP_0001,0.419,EURUSD/H1,0.366,CatBoost,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/08/16,"1. Сократить количество категорий в целевой переменной до 2.
2. Изменить состав признаков.",43,0.363,fset-0 (https://www.notion.so/fset-0-27546556b91c804c8347d83f94bfcc4a?pvs=21),32d3258e10d811254dfb5193d94238f3ea29b5d3,14,"CatBoost, LightGBM, XGBoost",-,0.368,f1,0.363,0,0.366,42,Rejected,target_h5_k0.2atr_v1 (https://www.notion.so/target_h5_k0-2atr_v1-25746556b91c80618160dcd3be39ae7f?pvs=21),43,tscv_k=5_gap=5
EXP_0002,0.516,EURUSD/H1,0.516,CatBoost,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/08/27,"1. Изменить состав признаков.
",50,0.513,fset-0 (https://www.notion.so/fset-0-27546556b91c804c8347d83f94bfcc4a?pvs=21),32d3258e10d811254dfb5193d94238f3ea29b5d3,0,"CatBoost, LightGBM, XGBoost",-,0.516,f1,0.51,0,0.516,42,Rejected,target_h5_binary (https://www.notion.so/target_h5_binary-25d46556b91c800aad11cb4ddc2ca114?pvs=21),50,tscv_k=5_gap=5
EXP_0003,0.518,EURUSD/H1,0.518,XGBoost,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/09/19,-,50,0.558,fset-1 (https://www.notion.so/fset-1-27546556b91c8124b56ce80061946a67?pvs=21),6621b4bf8f01c87de750e4c2897508e5c0027d26,0,"CatBoost, LightGBM, XGBoost",-,0.519,f1,0.558,0,0.518,42,Rejected,target_h5_binary (https://www.notion.so/target_h5_binary-25d46556b91c800aad11cb4ddc2ca114?pvs=21),50,tscv_k=5_gap=5
EXP_0004,0.519,EURUSD/H1,0.519,CatBoost,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/09/22,-,50,0.555,fset-2 (https://www.notion.so/fset-2-27546556b91c81dc969fd349165d772c?pvs=21),5fc72ee33dbef6b53f8c5405284500b2b6591a50,0,"CatBoost, LightGBM, XGBoost",-,0.52,f1,0.56,0,0.519,42,Rejected,target_h5_binary (https://www.notion.so/target_h5_binary-25d46556b91c800aad11cb4ddc2ca114?pvs=21),50,tscv_k=5_gap=5
EXP_0005,0.511,EURUSD/H1,0.511,XGBoost,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/09/22,-,50,0.542,fset-3 (https://www.notion.so/fset-3-27546556b91c817587a2de4b804add58?pvs=21),5fc72ee33dbef6b53f8c5405284500b2b6591a50,0,"CatBoost, LightGBM, XGBoost",-,0.511,f1,0.54,0,0.511,42,Rejected,target_h5_binary (https://www.notion.so/target_h5_binary-25d46556b91c800aad11cb4ddc2ca114?pvs=21),50,tscv_k=5_gap=5
EXP_0006,0.514,EURUSD/H1,0.515,CatBoost,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/09/22,-,50,0.551,fset-4 (https://www.notion.so/fset-4-27546556b91c81ae8235ee5d499d80cd?pvs=21),5fc72ee33dbef6b53f8c5405284500b2b6591a50,0,"CatBoost, LightGBM, XGBoost",-,0.515,f1,0.55,0,0.514,42,Rejected,target_h5_binary (https://www.notion.so/target_h5_binary-25d46556b91c800aad11cb4ddc2ca114?pvs=21),50,tscv_k=5_gap=5
EXP_0007,0.512,EURUSD/H1,0.512,,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/09/22,-,50,0.527,fset-5 (https://www.notion.so/fset-5-27746556b91c80558faff585437bcad3?pvs=21),a67c03eef52a5a855aa818f908d8e0c88c63fcf5,0,"CatBoost, LightGBM, XGBoost",-,0.512,f1,0.527,0,0.512,42,Rejected,target_h5_binary (https://www.notion.so/target_h5_binary-25d46556b91c800aad11cb4ddc2ca114?pvs=21),50,tscv_k=5_gap=5
EXP_0008,0.508,EURUSD/H1,0.508,,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/09/22,-,50,0.519,fset-6 (https://www.notion.so/fset-6-27746556b91c8016b807ef594c3a5ac9?pvs=21),a67c03eef52a5a855aa818f908d8e0c88c63fcf5,0,"CatBoost, LightGBM, XGBoost",-,0.508,f1,0.519,0.513,0.508,42,Rejected,target_h5_binary (https://www.notion.so/target_h5_binary-25d46556b91c800aad11cb4ddc2ca114?pvs=21),50,tscv_k=5_gap=5
EXP_0009,0.514,EURUSD/H1,0.514,,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/09/22,-,50,0.528,fset-7 (https://www.notion.so/fset-7-27746556b91c80aba343e85721bbe8b0?pvs=21),a67c03eef52a5a855aa818f908d8e0c88c63fcf5,0,"CatBoost, LightGBM, XGBoost",-,0.514,f1,0.528,0.522,0.514,42,Rejected,target_h5_binary (https://www.notion.so/target_h5_binary-25d46556b91c800aad11cb4ddc2ca114?pvs=21),50,tscv_k=5_gap=5
EXP_0010,0.522,EURUSD/H1,0.522,,oanda_eurusd_h1_2010-2024_v1 (https://www.notion.so/oanda_eurusd_h1_2010-2024_v1-25746556b91c80f7a290f82dd1615d1d?pvs=21),2025/09/22,-,50,0.532,fset-8 (https://www.notion.so/fset-8-27746556b91c801fb4e9e0675ff3f318?pvs=21),a67c03eef52a5a855aa818f908d8e0c88c63fcf5,0,"CatBoost, LightGBM, XGBoost",-,0.522,f1,0.532,0.527,0.522,42,Rejected,target_h5_binary (https://www.notion.so/target_h5_binary-25d46556b91c800aad11cb4ddc2ca114?pvs=21),50,tscv_k=5_gap=5
