,native:catboost_native,native:lightgbm_native,native:xgboost_native,permutation:catboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:xgboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
f_adx_14,6.472696394603603,16733,0.030931689,-0.0025903575576300187,-0.0012366021472121514,-0.00013364647571140198,5579.834542694483,-0.0013202020601845242,2789.9166112462117,False,False,False
f_return_std_20,6.15361703456362,15370,0.032220334,0.0017803391762527764,0.0017594629478187352,0.0016071222203443147,5125.395279122793,0.0017156414481386089,2562.6984973821204,False,False,False
f_atr_14_pct,5.976990803498976,14916,0.031824596,0.0028096091235914724,0.0019486761868356516,0.0027312299639504654,4974.002938466575,0.0024965050914591965,2487.0027174858333,False,False,False
f_rolling_std_ret_5,4.216970231065538,14552,0.029528884,0.002245489707788151,0.00025069413169784836,0.002755615753380658,4852.082166371761,0.0017505998642888857,2426.0419584858123,False,False,False
f_bandwidth_20,5.005094260371062,14206,0.031878833,0.0036820032243672918,0.002761616661753119,0.0006100291261144974,4737.012324364366,0.002351216337411636,2368.5073377903514,False,False,False
f_ret_24,3.9869127121688654,12943,0.030455053,0.004721848474960977,-0.0025435764160523845,-0.0019707953043514247,4315.672455921674,6.915891818572249e-05,2157.836262540296,False,False,False
f_macd_12_26_9_hist,4.164747232030377,12814,0.030369572,0.0035916697865502776,0.003041043462230153,0.0013658799055393355,4272.731705601457,0.0026661977181065884,2136.3671858995876,False,False,False
f_range_over_atr,2.81628149032594,11726,0.027947923,-0.0025362419839875527,0.0034129985942520035,0.0030648339227515643,3909.6147431378317,0.0013138635110053383,1954.8080285006713,False,False,False
f_donchian_pos_20,3.268912598741022,11656,0.029080112,0.005234905044814142,0.0038135702597334674,0.00546519128104016,3886.4326642367582,0.00483788886186259,1943.21875106281,False,False,False
f_di_diff_14,3.29639885714156,11520,0.030604837,0.008467475845494543,0.006599863997157585,0.007401721607722239,3841.1090012315344,0.007489687150124789,1920.5582454593423,False,False,False
f_ema_200,6.687166252898293,11143,0.037072092,-0.00039551054557065426,0.0011502050433940814,0.00034761097576123666,3716.574746115064,0.00036743515786155455,1858.287556775111,False,False,False
f_zscore_close_50,3.494115728653673,10917,0.030402955,0.0041558967884400945,0.004441832359269715,0.005284135344475349,3640.174839561107,0.004627288164061719,1820.0897334246356,False,False,False
f_vwap_dev_over_atr14,3.319809312680199,10896,0.028595435,0.006973682451337737,0.004326798912335328,0.00443603882065644,3633.116134915727,0.005245506728109836,1816.5606902112274,False,False,False
f_ret_12,2.56831922693867,10699,0.027692366,0.001976552988848401,0.002382556325683782,0.004194382839759247,3567.19867053111,0.0028511640514304764,1783.6007608475807,False,False,False
f_ret_6,2.332328124088936,10582,0.027485913,0.000997619284360951,-8.08075010861553e-05,-7.886570096299339e-05,3528.119938012251,0.00027931536077060076,1764.060108663806,False,False,False
close,3.1840688047060506,9848,0.03239149,0.00516374753067943,0.0011340327288329455,0.007374407741946221,3283.738820097753,0.004557396000486199,1641.8716887468768,False,False,False
f_ret_1_z20,1.6169847276352423,9420,0.025386918,0.0006778604764935192,0.002734958046466929,0.0032913138930563356,3140.547457215324,0.002234710805338928,1570.2748459630645,False,False,False
f_rsi_5,2.2619405508611883,9190,0.02756731,0.0032562964986636578,0.0046562622030160705,0.004406521489358795,3064.0965026203735,0.004106360063679508,1532.0503044902187,False,False,False
f_roc_5,1.241250049842501,8937,0.026943458,0.0030576419636910825,0.0037340413268409757,0.0045274404838734125,2979.4227311693626,0.003773041258135157,1489.7132521053104,False,False,False
f_ret_1,1.3991792888787151,8741,0.025404032,0.001341321709133192,-0.0004953082800586706,0.0015979632573845048,2914.141527773733,0.0008146588954863421,1457.0711712163143,False,False,False
f_percentB_20,2.055751616385175,8527,0.02697617,0.0007048143680886909,0.001644790097770621,0.0001829076659949469,2843.027575928801,0.0008441707106180864,1421.5142100497558,False,False,False
f_rsi_14,2.171565769566443,8006,0.028892044,0.005572200319635301,0.004049925089901063,0.004886790121735318,2669.400152604515,0.004836305177090561,1334.702494454846,False,False,False
f_hour_of_day_sin,2.218762557944932,6655,0.028784152,0.0005588643847629582,0.004996718722910886,0.003355549407416625,2219.0825155700218,0.0029703775050301563,1109.5427429737633,False,False,False
f_hour_of_day_cos,2.168832758310618,6223,0.030341415,0.0057854174870209055,0.0035362421729215,0.003911508046181433,2075.0663913910153,0.00441105590204128,1037.5354012234586,False,False,False
f_ema20_slope,1.3218419145142375,6199,0.028490461,0.005250280520318773,0.001027264305680209,0.0032406905898769932,2066.7834441253076,0.0031727451386253254,1033.3933084352232,False,False,False
f_ema_10,2.462355959506111,6126,0.033791944,0.0007510250322258716,-4.766000518146019e-05,0.001744476410623086,2042.8320493012968,0.0008159471458891658,1021.4164326242213,False,False,False
f_ema_50,3.8824748083638427,6111,0.03668074,0.0018996460647576097,0.0011166591475808452,0.001525947021671803,2038.3063851825789,0.0015140840780034192,1019.1539496333285,False,False,False
f_dow,3.7793329425216267,5902,0.035410415,-0.0004829072146322999,0.0005960573593661644,-0.00031035691361160913,1968.6049144526341,-6.573558962591487e-05,984.3024243585222,False,False,False
