,native:xgboost_native,native:lightgbm_native,native:catboost_native,permutation:xgboost_perm_f1m,permutation:lightgbm_perm_f1m,permutation:catboost_perm_f1m,avg_native,avg_perm,avg_total,zero_native,zero_perm,all_zero
close,0.08102890104055405,29922.0,13.349562947888947,0.003720821533401314,0.005672147071865768,0.0027213839916501057,9978.476863949643,0.004038117532305729,4989.240451033588,False,False,False
f_macd_12_26_9_hist,0.0705191120505333,22105.0,6.772764029445504,0.004321815996485412,0.004719904220464621,0.0050897432654650855,7370.614427713833,0.004710487827471706,3685.30956910083,False,False,False
f_di_diff_14,0.07023729383945465,19739.0,5.7436889941214595,0.00903005093281221,0.007301490074558758,0.010491530444939928,6581.6046420959865,0.008941023817436966,3290.8067915599017,False,False,False
f_adx_14,0.07276055216789246,25077.0,8.697534256088366,-0.0016518671736164947,-0.0014766171080299983,-0.0005397533193955417,8361.923431602752,-0.0012227458670140115,4180.961104428442,False,False,False
f_rsi_14,0.06802503019571304,17083.0,4.550978110043777,0.008640151302133785,0.012279052640395128,0.013472679984348219,5695.873001046747,0.011463961308959042,2847.942232504028,False,False,False
f_atr_14_pct,0.07318855822086334,23764.0,8.480588344250691,0.0034729902806114434,0.004963561452152548,0.0024573485592134904,7924.184592300823,0.003631300097325827,3962.0941118004607,False,False,False
f_return_std_20,0.0740162581205368,24281.0,8.986875900895805,0.001706408263183301,0.0012167881702305427,0.0032099685962797553,8096.686964053006,0.0020443883432312,4048.3445042206745,False,False,False
f_range_over_atr,0.07008903473615646,20622.0,4.669366572266493,0.002988219893100308,0.0055940155909170565,0.0007420403876774895,6875.579818535668,0.0031080919572316185,3437.791463313813,False,False,False
f_donchian_pos_20,0.06824714690446854,20299.0,5.40536969585921,0.0061521376028353504,0.004003536195091956,0.006999205285914667,6768.157872280921,0.005718293027947324,3384.0817952869743,False,False,False
f_bandwidth_20,0.07239186018705368,23291.0,7.664356928141726,0.004713121554902122,0.005047551403520589,0.007026220347455503,7766.245582929442,0.0055956311019594055,3883.1255892802724,False,False,False
f_ret_24,0.06984291970729828,20870.0,6.461498887771275,-0.002691035636521699,-0.0025606435325479016,-0.00037862531894116146,6958.843780602493,-0.001876768162670254,3479.4209519171654,False,False,False
f_rolling_std_ret_5,0.07068314403295517,23032.0,7.172736736481667,-0.0008202823780652735,0.0010508433100530623,-0.0016351328818727362,7679.747806626838,-0.0004681906499616492,3839.873669218094,False,False,False
f_zscore_close_50,0.07003778964281082,18871.0,5.843271129057675,0.00028697187477363386,0.0018823639137236226,0.0004952885088402081,6292.304436306234,0.0008882080991124882,3146.152662257167,False,False,False
f_vwap_dev_over_atr14,0.0689324364066124,21044.0,6.201407467687398,0.0075230552578025075,0.0058106367133680895,0.008571873414898285,7016.756779968032,0.007301855128689627,3508.38204091158,False,False,False
